TaskOrder,ParticipantID,SourceFile,Timestamp,FrameIndex,SceneID,NodeID,GazeValid,HitStatus,Category,ObjectName,HitPointX,HitPointY,HitPointZ,HitDistance,DeltaTime,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.865,4638,23,12,1,ValidHit,entrance,E5,-60.1910439,1.05505478,6.81510427E-16,40.015934,0.0109999999,-49.5890388,1.643332,38.5814285,-0.264943004,-0.0147010004,-0.964146018
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.876,4639,23,12,1,ValidHit,entrance,E5,-60.6026382,1.04235876,6.73309454E-16,40.1266899,0.0109999999,-49.5772209,1.64285803,38.5775909,-0.274764001,-0.0149649996,-0.961390972
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.8869999999999,4640,23,12,1,ValidHit,entrance,E5,-60.7202148,0.9541924,6.16358559E-16,40.160099,0.0120000001,-49.5777512,1.64265895,38.5772591,-0.277449995,-0.0171429999,-0.960582972
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.8989999999999,4641,23,12,1,ValidHit,entrance,E5,-62.6589279,1.4453367,9.33612208E-16,40.7347794,0.0109999999,-49.5751495,1.64249396,38.5758705,-0.321191996,-0.00484000007,-0.946994007
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.9100000000001,4642,23,12,1,ValidHit,entrance,E5,-60.6574135,0.732790172,4.73344246E-16,40.1464424,0.0109999999,-49.5909805,1.64267397,38.580349,-0.275649995,-0.0226639993,-0.960985005
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.921,4643,23,12,1,ValidHit,entrance,E5,-62.654583,0.810727715,5.23687861E-16,40.7406769,0.0109999999,-49.56987,1.642084,38.5733299,-0.321170002,-0.0204060003,-0.94679898
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.932,4644,23,12,1,ValidHit,entrance,E5,-62.7515984,0.75301373,4.86407611E-16,40.7727661,0.0109999999,-49.5703087,1.64202499,38.5730705,-0.323285997,-0.0218039993,-0.946048021
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.943,4645,23,12,1,ValidHit,entrance,E5,-62.3138428,1.01783085,6.57465703E-16,40.6282425,0.0109999999,-49.57201,1.64213097,38.5734406,-0.313616991,-0.0153660001,-0.949415028
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.954,4646,23,12,1,ValidHit,entrance,E5,-62.2097321,2.13058114,1.37624431E-15,40.5930328,0.0109999999,-49.5731392,1.64203799,38.5729485,-0.311295986,0.0120350001,-0.950224996
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.9649999999999,4647,23,12,1,ValidHit,entrance,E5,-62.9806747,3.13222837,2.02325636E-15,40.8622246,0.0109999999,-49.5757484,1.64172101,38.5721092,-0.328047991,0.0364760011,-0.943943977
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.9760000000001,4648,23,12,1,ValidHit,entrance,E5,-63.0059662,3.13256407,2.0234732E-15,40.8702087,0.0109999999,-49.5760689,1.64176595,38.5718689,-0.328595012,0.0364760011,-0.943754017
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.9870000000001,4649,23,12,1,ValidHit,signage,HS-05,-63.5980644,4.73817444,0.800049245,40.40979,0.0120000001,-49.56213,1.64154601,38.5671616,-0.347337008,0.0766299963,-0.934594989
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1340.999,4650,23,12,1,ValidHit,entrance,E5,-62.3263397,2.11135268,1.36382384E-15,40.6279793,0.0109999999,-49.5744019,1.64213502,38.5720215,-0.313867003,0.0115489997,-0.949383974
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1341.01,4651,23,12,1,ValidHit,entrance,E5,-62.3208275,2.11741447,1.36773946E-15,40.6260452,0.0109999999,-49.5746613,1.64216495,38.5718193,-0.313739985,0.0116980001,-0.949424982
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1341.021,4652,23,12,1,ValidHit,entrance,E5,-62.9944153,3.15185595,2.03593474E-15,40.8660202,0.0109999999,-49.5771599,1.64191997,38.5710907,-0.328319013,0.0369479991,-0.943831027
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1341.0319999999999,4653,23,12,1,ValidHit,signage,HS-05,-64.0587387,4.32451248,0.800049186,40.5416718,0.0109999999,-49.5627098,1.64177704,38.5663681,-0.357556999,0.0661719963,-0.931538999
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1341.0429999999999,4654,23,12,1,ValidHit,signage,HS-05,-61.887043,5.24108505,0.800049424,39.8881989,0.0109999999,-49.5794601,1.64196599,38.5709114,-0.308548003,0.0902289972,-0.946905971
115,Eye_ID2550803_Task115_1765690724551,Eye_ID2550803_Task115_1765690724551.csv,1341.0540000000001,4655,23,12,1,ValidHit,signage,HS-05,-61.8530922,5.24496555,0.800049424,39.8779373,0.0109999999,-49.5796204,1.64202595,38.5708084,-0.307772011,0.0903479978,-0.947147012
