SceneID,NodeID,VisibleNodes,VisibleEndnodes
23,1,"2,30","9,10"
23,2,"1,3,27","10,11"
23,3,"2,4,7","10,11"
23,4,"3,5,6,7,8",11
23,5,"4,6",11
23,6,"4,5","11,29"
23,7,"3,4,8,11,26","12,23"
23,8,"4,7,9,11,12,26","12,23,25,26"
23,9,"8,10","22,23,25"
23,10,"9,16","21,22,24,25"
23,11,"7,8,12,26","12,13,23,26"
23,12,"8,11,13,14,17,18,24,25,26","12,13,26,27"
23,13,"12,14,17,18,25","13,26,27,14,16,17,18"
23,14,"12,13,15,17","16,17,18,27,28"
23,15,"14,16","19,24,28"
23,16,"10,15","19,20,21,22,24"
23,17,"12,13,14,18","16,17,18,27"
23,18,"12,13,17,19,25","14,15,16"
23,19,"18,20,21,22","1,2,15,14"
23,20,"19,21,22","1,2,3,15"
23,21,"19,20,22","1,2,3"
23,22,"19,20,21,23","3,4,14"
23,23,"22,24,28","4,5,14"
23,24,"12,23,25,26,27,28","5,6,7,12,13,14"
23,25,"12,13,18,24","6,13,14"
23,26,"7,11,12,24,28","12,13,26"
23,27,"2,24,28",7
23,28,"23,24,26,27,29","6,7,12,13"
23,29,"28,30","7,8"
23,30,"1,29","7,8"
