TaskOrder,SceneID,TaskID,StartPoint,EndPoint,EndPoint_All,SceneName,SceneType,LevelName,StartInfo,Background,TaskInfo,Path,EndPointType,Notes,MapAid,Gender,Age,TaskOrderOriginal
1,1,1,1,12,12,太阳宫,商业综合体,5层,厕所,请寻找,费大厨餐厅,厕所Ent02 费大厨 ,1,本层-区内,T,,,1
2,1,3,26,1,"1,2,3,4,5",太阳宫,商业综合体,5层,某处,请寻找,Sukiyaki餐厅,Ent03 餐厅-Sukiyaki,2,本层-区外,T,,,8
3,1,4,26,23,23,太阳宫,商业综合体,5层,某处,请寻找,茉莉白茶饮料店,Ent03 茉莉白茶饮料店,1,本层-区内,T,,,14
4,1,5,25,8,8,太阳宫,商业综合体,5层,某处,请寻找,厕所,Ent04 本层寻找厕所。,1,本层-区内,T,,,21
5,1,6,21,10,10,太阳宫,商业综合体,5层,某处,请寻找,Wagas coffee饮料店,Ent05 Wagas coffee,1,本层-区内,T,,,27
6,1,8,20,27,"8,18,25,27",太阳宫,商业综合体,5层,某处,请前往,三楼并寻找商店-杂物社,Ent06 三楼并去 杂物社店,3,3层-区外,T,,,34
7,1,9,17,7,7,太阳宫,商业综合体,5层,电梯厅,请寻找,复兴面王餐厅,Ent08 复兴面王,1,本层-区内,T,,,40
8,2,1,21,16,"16,17",上海环贸iAPM,商业综合体,地下2层,地铁出口,请乘坐直梯前往3层寻找,餐厅-KING YAKI,从E03→ 直梯→ KING YAKI吃饭,3,5层-区外,F,0,0,47
9,2,2,21,17,"16,17",上海环贸iAPM,商业综合体,地下2层,地铁出口,请乘坐直梯前往3层,逛一逛,从E03→ 直梯→3F闲逛,3,3层-区外,F,1,0,113
10,2,3,22,20,"16,17,20",上海环贸iAPM,商业综合体,地下2层,某处,请前往1层寻找,商场出口,从E01→ 扶梯→1F出口,3,1层-区外,F,0,0,121
11,2,4,22,20,"16,17,20",上海环贸iAPM,商业综合体,地下2层,某处,请前往地下1层寻找,超市-city'super,从E01→ 问询台问题→扶梯→city'super购物,3,GL1层-区外,F,1,0,53
12,2,8,12,16,"16,17,20",上海环贸iAPM,商业综合体,地下2层,某处,请乘坐直梯或电梯前往,其他楼层,从 Ent04 → Ent02 电梯,1,本层-电梯,F,1,0,60
13,2,11,21,20,"16,17,20",上海环贸iAPM,商业综合体,地下2层,某处,请乘坐直梯或电梯前往,其他楼层,从 Ent03 → 扶梯,2,扶梯-本层-区外,F,1,0,67
14,3,1,2,7,7,上海环贸iAPM,商业综合体,4层,某处,请寻找,gaga饮料店,从 Ent01 → gaga 买饮料,1,本层-区内,F,1,0,74
15,3,3,1,20,"1,20",上海环贸iAPM,商业综合体,4层,扶梯,请寻找,ENOTECA 葡萄酒专卖店,从 Ent02扶梯 → ENOTECA 进店,2,本层-区外,F,1,1,80
16,3,5,5,1,"1,20",上海环贸iAPM,商业综合体,4层,扶梯,请寻找,叶马餐厅,从 Ent03扶梯 → 上扶梯 → L5 叶马-吃饭,3,5层-区外,T,1,0,87
17,3,6,5,16,"10,16,18",上海环贸iAPM,商业综合体,4层,扶梯,请前往,一楼并寻找出口,从 Ent03扶梯 → 下扶梯 → L1出去,3,1层-区外,F,0,1,127
18,3,9,15,15,15,上海环贸iAPM,商业综合体,4层,厕所,请寻找,Rikka餐厅,从 Ent05 厕所 → Rikka 吃饭,1,本层-区内,F,1,1,93
19,3,10,15,19,19,上海环贸iAPM,商业综合体,4层,厕所,请寻找,On(昂跑)运动鞋店,从 Ent05 厕所 → On Cloud看产品,1,本层-区内,F,0,0,99
20,3,11,25,16,"10,16,18",上海环贸iAPM,商业综合体,4层,某处,请前往,三楼并寻找厕所,从 Ent07 → 下扶梯 → L3 厕所,3,3层-区外,F,1,1,133
