Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-15 11:46:09.096,1765770369096,1479.4980,2.036011,15,0,-25.9000,0.1100,27.1000,6.4410
2025-12-15 11:46:15.537,1765770375537,1485.9400,8.477783,16,0,-13.4000,0.1100,33.0700,15.3470
2025-12-15 11:46:30.884,1765770390884,1501.2880,23.826050,10,0,-22.5000,0.1100,44.7000,3.8330
2025-12-15 11:46:34.717,1765770394717,1504.5920,27.130370,9,0,-32.1000,0.1100,49.4000,8.9850
2025-12-15 11:46:43.702,1765770403702,1512.9940,35.532100,8,0,-39.1000,0.1100,52.3000,2.4760
2025-12-15 11:46:46.178,1765770406178,1515.4710,38.008670,12,0,-50.2000,0.1100,38.8000,3.1100
2025-12-15 11:46:49.288,1765770409288,1518.1040,40.642460,18,0,-55.2000,0.1100,23.0000,3.2110
2025-12-15 11:46:52.499,1765770412499,1520.7360,43.274050,19,0,-58.3000,0.1100,14.5000,4.0300
2025-12-15 11:46:56.529,1765770416529,1524.2800,46.818360,21,0,-71.4000,0.1100,4.9000,0.4000
2025-12-15 11:46:56.929,1765770416929,1524.6800,47.218380,0,2,-71.5000,0.9962,0.5200,0.0000
